Head,Tail,P(H),P(T)
0,0,-nan,-nan
8,2,0.8,0.2
10,10,0.5,0.5
6,24,0.2,0.8
24,16,0.6,0.4
20,30,0.4,0.6
36,24,0.6,0.4
35,35,0.5,0.5
56,24,0.7,0.3
36,54,0.4,0.6
40,60,0.4,0.6
55,55,0.5,0.5
60,60,0.5,0.5
78,52,0.6,0.4
56,84,0.4,0.6
75,75,0.5,0.5
16,144,0.1,0.9
102,68,0.6,0.4
54,126,0.3,0.7
95,95,0.5,0.5
40,160,0.2,0.8
126,84,0.6,0.4
132,88,0.6,0.4
69,161,0.3,0.7
168,72,0.7,0.3
175,75,0.7,0.3
52,208,0.2,0.8
81,189,0.3,0.7
168,112,0.6,0.4
116,174,0.4,0.6
210,90,0.7,0.3
155,155,0.5,0.5
160,160,0.5,0.5
198,132,0.6,0.4
204,136,0.6,0.4
140,210,0.4,0.6
144,216,0.4,0.6
259,111,0.7,0.3
114,266,0.3,0.7
273,117,0.7,0.3
240,160,0.6,0.4
246,164,0.6,0.4
336,84,0.8,0.2
344,86,0.8,0.2
220,220,0.5,0.5
315,135,0.7,0.3
276,184,0.6,0.4
282,188,0.6,0.4
336,144,0.7,0.3
98,392,0.2,0.8
